,from,to,distance
325,STOP,Interamerican,2.236103805893692
326,STOP,IT CAFE,1.0005719102455877
327,STOP,Mc Donald's,1.7322774693253544
328,STOP,National Energy,1.7320970615794757
329,STOP,Public,2.0001297826822397
330,STOP,Qualco,2.645888801077748
331,STOP,Socialdoo,2.449595711045499
332,STOP,Optima Bank AE,2.455746626129845
333,STOP,Motodynamics,2.010645957875679
334,STOP,PEPSICO,2.2659995688053405
335,STOP,ΥΠΕΡΤΑΜΕΙΟ ,2.6457815916534484
336,STOP,PWC ,2.4938636435170904
337,STOP,DELOITTE,2.6362867847669027
338,STOP,Johnson & Johnson,2.449501517260933
339,STOP,Nespresso,1.0006327612710957
340,STOP,Everest,2.4496205671346365
341,STOP,Intersalonica,1.7320508075688772
342,Everest,Diana Shipping,3.187730282673128
343,Everest,HOWDEN,3.000240336471445
344,Everest,Interamerican,3.000240336471445
345,Everest,IT CAFE,2.2250014402757787
346,Everest,Mc Donald's,2.2250360066147814
347,Everest,National Energy,3.000240336471445
348,Everest,Public,2.8288361090338467
349,Everest,Qualco,2.9917980767850034
350,Everest,Socialdoo,3.162278673556347
351,Everest,Optima Bank AE,3.168627903054371
352,Everest,Motodynamics,2.3872371691716556
353,Everest,PEPSICO,2.674692829783735
354,Everest,ΥΠΕΡΤΑΜΕΙΟ ,3.000240336471445
355,Everest,PWC ,2.871186330379659
356,Everest,DELOITTE,3.0
357,Everest,Johnson & Johnson,2.828482641317641
358,Everest,Nespresso,2.636403800634493
359,Everest,STOP,2.4496205671346365
360,Everest,Intersalonica,2.645872431340751
361,Intersalonica,Diana Shipping,2.6724351378049787
362,Intersalonica,HOWDEN,1.4142702113571701
363,Intersalonica,Interamerican,1.4142702113571701
364,Intersalonica,IT CAFE,2.000286016441775
365,Intersalonica,Mc Donald's,2.0001962980498327
366,Intersalonica,National Energy,2.0000400572819172
367,Intersalonica,Public,2.6458494189149357
368,Intersalonica,Qualco,2.4496382483274224
369,Intersalonica,Socialdoo,2.6458494189149357
370,Intersalonica,Optima Bank AE,2.242920304368418
371,Intersalonica,Motodynamics,2.245595058758771
372,Intersalonica,PEPSICO,2.4768435650694594
373,Intersalonica,ΥΠΕΡΤΑΜΕΙΟ ,2.0000400572819172
374,Intersalonica,PWC ,2.284590963926877
375,Intersalonica,DELOITTE,2.4392638257344395
376,Intersalonica,Johnson & Johnson,2.236080875787728
377,Intersalonica,Nespresso,2.0003164556962023
378,Intersalonica,STOP,1.7320508075688772
379,Intersalonica,Everest,2.645872431340751
